Brand;Product;SKU;Price;Description;Img_link;Category;Season;Size
Ikoc;2024 7;502;1550;Сезон: осень/весна;http://menshoes.in.ua/wp-content/uploads/6-ikoc-2024 7.gif;Туфли;Осень/весна;40|41|42|43
Ikoc;2055 1;503;1550;Сезон: осень/весна;http://menshoes.in.ua/wp-content/uploads/7-ikoc-2055 1.gif;Туфли;Осень/весна;40|41|42|43|44|45
Ikoc;390 1;504;1550;Сезон: осень/весна;http://menshoes.in.ua/wp-content/uploads/8-ikoc-390 1.gif;Туфли;Осень/весна;40|41|42|43|44|45
