Brand;Product;SKU;Price;Description1;Description2;Description3;Description4;Img_link;Category;Season;Color;Material;Country;Size
Nord;7776b9991;1604;2700;Сезон: осень/весна;Материал: кожа;Страна: Польша;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/118-nord-7776b9991.jpg;Ботинки;Осень/весна;Черный;Кожа;Польша;41|45|
Nord;7782b9991;1605;2700;Сезон: зима;Материал: кожа;Страна: Польша;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/120-nord-7782b9991.jpg;Ботинки;Зима;Черный;Кожа;Польша;40|41|
Miratti;K008K05H-E1;161;1950;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/164-Miratti-K008K05H-E1.jpg;Ботинки;Зима;Черный;Кожа;Италия;39|40|41|43|44|45|
Miratti;К008К05М-Е5;162;2550;Сезон: осень/весна;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/167-Miratti-K008K05M-E5.jpg;Ботинки;Осень/весна;Черный;Кожа;Италия;39|41|42|
Miratti;8058-2-8-;163;2550;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/169-Miratti-8058-2-8-.jpg;Ботинки;Зима;Черный;Кожа;Италия;39|40|44|45|
Miratti;A123C22M;164;2550;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/171-Miratti-A123C22M.jpg;Ботинки;Зима;Черный;Кожа;Италия;41|43|44|
Miratti;С0006-1-5;165;2550;Сезон: зима;Материал: замша;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/173-Miratti-C0006-1-5.jpg;Ботинки;Зима;Черный;Замша;Италия;40|45|
Miratti;S0006-1-6;166;2550;Сезон: зима;Материал: замша;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/174-Miratti-S0006-1-6.jpg;Ботинки;Зима;Черный;Замша;Италия;40|41|42|
Ritellini realta;08-2442335;1701;1400;Сезон: зима;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/207-ritellini-realta-08-2442335.jpg;Ботинки;Зима;Черный;Кожа;Украина;41|42|43|45|
Sensor;165-2;1801;920;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/199-sensor-165-2.jpg;Ботинки;Осень/весна;Черный;Кожа;Украина;36|
Sensor;342-1;1802;920;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/200-sensor-342-1.jpg;Туфли;Осень/весна;Черный;Кожа;Украина;36|38|39|
Sensor;996-3;"1803
1803
1803";920;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/201-sensor-996-3.jpg;Туфли;Осень/весна;Черный;Кожа;Украина;41|
Tapi;2111;220;2500;Сезон: зима;Материал: кожа;Страна: Польша;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/93-tapi-2111.jpg;Туфли;Зима;Черный;Кожа;Польша;38|39|41|42|43|45|
Tapi;2100;221;2500;Сезон: зима;Материал: кожа;Страна: Польша;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/94-tapi-2100.jpg;Ботинки;Зима;Черный;Кожа;Польша;38|40|41|43|
Tapi;2159;222;2500;Сезон: зима;Материал: кожа;Страна: Польша;Цвет: коричневый;http://menshoes.in.ua/wp-content/uploads/96-tapi-2159.jpg;Ботинки;Зима;Коричневый;Кожа;Польша;38|39|40|41|42|43|45|
Tapi;2148;223;2500;Сезон: зима;Материал: кожа;Страна: Польша;Цвет: коричневый;http://menshoes.in.ua/wp-content/uploads/99-tapi-2148.jpg;Ботинки;Зима;Коричневый;Кожа;Польша;38|40|41|44|
Tapi;2161;224;2500;Сезон: зима;Материал: кожа;Страна: Польша;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/101-tapi-2161.jpg;Ботинки;Зима;Черный;Кожа;Польша;38|39|40|42|45|
Tapi;2162;225;2500;Сезон: зима;Материал: кожа;Страна: Польша;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/102-tapi-2162.jpg;Ботинки;Зима;Черный;Кожа;Польша;38|42|45|
Tapi;2160;226;2500;Сезон: зима;Материал: кожа;Страна: Польша;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/104-tapi-2160.jpg;Ботинки;Зима;Черный;Кожа;Польша;40|42|44|
Tapi;2168;227;2500;Сезон: зима;Материал: кожа;Страна: Польша;Цвет: коричневый;http://menshoes.in.ua/wp-content/uploads/107-tapi-2168-1.jpg;Ботинки;Зима;Коричневый;Кожа;Польша;38|40|41|42|43|45|
Tapi;2145;228;2500;Сезон: зима;Материал: замша;Страна: Польша;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/108-tapi-2145.jpg;Ботинки;Зима;Черный;Замша;Польша;38|40|42|44|
Tapi;2168;229;2500;Сезон: зима;Материал: кожа;Страна: Польша;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/110-tapi-2168-2.jpg;Ботинки;Зима;Черный;Кожа;Польша;38|39|42|44|45|
Ikoc;271;505;1550;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/62-ikoc-271.gif;Ботинки;Осень/весна;Черный;Кожа;Украина;40|41|42|43|44|45|
